Id, Класс
1,Акрилаты
2,Алкадиены
3,Алкены
4,Альдегиды
5,Арсенаты
6,Ацетилены
7,Бензолы
8,Бициклоалкены
9,Бубнов
10,Виниловые и родственные
11,Винилорганосиланы
12,Гармоны
13,Гели
14,Гермаацетилены
15,Дендроны
16,Диацетилены
17,Диоксины
18,Изомеламины
19,Изотопы Серы
20,Изоцианаты
21,Изоцианураты
22,Имины
23,Интерполимерные комплексы
24,Италия
25,Карбиноидная структура
26,Карбодиимиды
27,Князев
28,Комплексы иминов (с хлористым цинком)
29,Комплексы полииминов (с хлористым цинком)
30,Композит с Fe3O4
31,Композит с ZnO
32,Координационные
33,Координационный полимер
34,Краунэфиры
35,Лактоны
36,Меламины
37,Неорганические соединения
38,Нитрилы
39,Норборнены
40,Огнестойкие
41,Оксиды
42,Оксолактоны
43,Органогерманы
44,Органосиланы
45,ПФГ
46,ПЭБК
47,Пептиды
48,Перхлораты
49,Петьков
50,Пимерзин
51,Пиридины
52,Полиакрилаты
53,Полиалкеномеры
54,Полиалкены
55,Полиалкены сополимер
56,Полиальдегиды
57,Полиамиды
58,Поливинилорганосиланы
59,Полигермаацетилены
60,Полиены
61,Полиизоцианаты
62,Полиизоцианураты
63,Полиимины
64,Полилактоны
65,Полимочевина
66,Полинорборнены
67,Полиоксимы
68,Полиорганогерманы
69,Полиорганосилангерманы
70,Полиорганосиланы
71,Полисиланы
72,Полисилоксаны
73,Политриазины
74,Полиуретан
75,Полифосфазены
76,Полифосфаты
77,Полицианакрилаты
78,Полицианураты
79,Полиэфиры
80,Л-181
81,Сетки
82,Силоксаны
83,Слейманов
84,Соединения Gd
85,Соединения гадолиния Gd (Санкт-Пете)
86,Сополимеры СО с алкенами
87,Стиролы
88,Ba0
89,Mg0
90,ПЭПК23
91,Терпены
92,Уретаны
93,Федюшкин
94,Фосфаты
95,Фулерены
96,Фуллерен
97,Фуллеренол
98,Фуллеренсодержащий поли(силдиметил)триметилен
99,Фуллериты
100,Х
101,Цианакрилаты
102,Цианаты
103,Цианураты
104,Циклические амиды
105,Циклические эфиры
106,Циклоалканы
107,Циклоалкены
108,Циклодиены
109,Циклосилоксаны
110,Циклотетраены
111,Циклотримеры
112,+++
113,акрилаты
114,ампула
115,биополимер
116,биополимеры
117,2
118,2-хлорпропаналь
119,2O1
120,вольфраматы
121,4%
122,4 - Дипиридил
123,4-бутандиол
124,4-диизоцианатобутан
125,дендример
126,дендримеры
127,дендроны
128,6 гександиол 1
129,6
130,6-диметил-n-фенилен-оксид
131,623O4
132,6O11
133,6гександиол
134,зверева
135,италия
136,кислоты
137,князев
138,наташа
139,оксиды
140,перхлораты
141,петьков
142,полиареновые
143,полимер
144,полиоксимы
145,сополимер
146,спиросоед
147,сулейманов
148,супер
149,сурьма
150,успенская
151,федюшкин
152,фосфат
153,фуллерид
154,фуллериты
155,Gd
156,Zn05Ti2(PO4)3
157,dendrimr
158,lдендримеры
